goos: darwin
goarch: arm64
pkg: github.com/Ixecd/kubepivot/benchmark/eventstream
cpu: Apple M4
BenchmarkCacheGet_ClientGo-4           	30503077	        48.00 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	30475286	        42.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	29114317	        42.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	25740486	        43.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	27629806	        41.39 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	27029308	        45.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	22278260	        45.80 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	30452311	        61.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	24889363	        47.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	30541506	        43.22 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        14.73 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        13.05 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        13.09 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	73041199	        14.14 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        13.78 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        14.69 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        15.31 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	96448802	        14.20 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        15.76 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	100000000	        15.01 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  169748	      6813 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  178273	      6982 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  175113	      6617 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  176907	      6589 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  157076	      7316 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  164926	      6685 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  180032	      6782 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  163208	      6971 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  177458	      6668 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  160201	      6729 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	 8116916	       147.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	 7880644	       152.6 ns/op	     160 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	 8263092	       142.4 ns/op	     160 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	 8004590	       144.6 ns/op	     160 B/op	       1 allocs/op
